,0
1323,950193
1324,950194
1325,950195
1326,950196
1327,950197
1328,950198
1329,950199
1330,950200
1331,950201
1332,950202
1333,950203
1334,950204
1335,950205
1336,950206
1337,950207
1338,950208
1339,950209
1340,950210
1341,950211
1342,950212
1343,950213
1344,950214
1345,950215
1346,950216
1347,950217
1348,950218
1349,950219
1350,950220
1351,950221
1352,950222
1353,950223
1354,950224
1355,950225
1356,950226
1357,950227
1358,950228
1359,950229
1360,950230
1361,950231
1362,950232
1363,950233
1364,950234
1365,950235
1366,950236
1367,950237
1368,950238
1369,950239
1370,950240
1371,950241
1372,950242
1373,950243
1374,950244
1375,950245
1376,950246
1377,950247
1378,950248
1379,950249
1380,950250
1381,950251
1382,950252
1383,950253
1384,950254
1385,950255
1386,950256
1387,950257
1388,950258
1389,950259
1390,950260
1391,950261
1392,950262
1393,950263
1394,950264
1395,950265
1396,950266
1397,950267
1398,950268
1399,950269
1400,950270
1401,950271
1402,950272
1403,950273
1404,950274
1405,950275
1406,950276
1407,950277
1408,950278
1409,950279
1410,950280
1411,950281
1412,950282
1413,950283
1414,950284
1415,950285
1416,950286
1417,950287
1418,950288
1419,950289
1420,950290
1421,950291
1422,950292
1423,950293
1424,950294
1425,950295
1426,950296
1427,950297
1428,950298
1429,950299
1430,950300
1431,950301
1432,950302
1433,950303
1434,950304
1435,950305
1436,950306
1437,950307
1438,950308
1439,950309
1440,950310
1441,950311
1442,950312
1443,950313
1444,950314
1445,950315
1446,950316
1447,950317
1448,950318
1449,950319
1450,950320
1451,950321
1452,950322
1453,950323
1454,950324
1455,950325
1456,950326
1457,950327
1458,950328
1459,950329
1460,950330
1461,950331
1462,950332
1463,950333
1464,950334
1465,950335
1466,950336
1467,950337
1468,950338
1469,950339
1470,950340
1471,950341
1472,950342
1473,950343
1474,950344
1475,950345
1476,950346
1477,950347
1478,950348
1479,950349
1480,950350
1481,950351
1482,950352
1483,950353
1484,950354
1485,950355
1486,950356
1487,950357
1488,950358
1489,950359
1490,950360
1491,950361
1492,950362
1493,950363
1494,950364
1495,950365
1496,950366
1497,950367
1498,950368
1499,950369
1500,950370
1501,950371
1502,950372
1503,950373
1504,950374
1505,950375
1506,950376
1507,950377
1508,950378
1509,950379
1510,950380
1511,950381
1512,950382
1513,950383
1514,950384
1515,950385
1516,950386
1517,950387
1518,950388
1519,950389
1520,950390
1521,950391
1522,950392
1523,950393
1524,950394
1525,950395
1526,950396
1527,950397
1528,950398
1529,950399
1530,950400
1531,950401
1532,950402
1533,950403
1534,950404
1535,950405
1536,950406
1537,950407
1538,950408
1539,950409
1540,950410
1541,950411
1542,950412
1543,950413
1544,950414
1545,950415
1546,950416
1547,950417
1548,950418
1549,950419
1550,950420
1551,950421
1552,950422
1553,950423
1554,950424
1555,950425
1556,950426
1557,950427
1558,950428
1559,950429
1560,950430
1561,950431
1562,950432
1563,950433
1564,950434
1565,950435
1566,950436
1567,950437
1568,950438
1569,950439
1570,950440
1571,950441
1572,950442
1573,950443
1574,950444
1575,950445
1576,950446
1577,950447
1578,950448
1579,950449
1580,950450
1581,950451
1582,950452
1583,950453
1584,950454
1585,950455
1586,950456
1587,950457
1588,950458
1589,950459
1590,950460
1591,950461
1592,950462
1593,950463
1594,950464
1595,950465
1596,950466
1597,950467
1598,950468
1599,950469
1600,950470
1601,950471
1602,950472
1603,950473
1604,950474
1605,950475
1606,950476
1607,950477
1608,950478
1609,950479
1610,950480
1611,950481
1612,950482
1613,950483
1614,950484
1615,950485
1616,950486
1617,950487
1618,950488
1619,950489
1620,950490
1621,950491
1622,950492
1623,950493
1624,950494
1625,950495
1626,950496
1627,950497
1628,950498
1629,950499
1630,950500
1631,950501
1632,950502
1633,950503
1634,950504
1635,950505
1636,950506
1637,950507
1638,950508
1639,950509
1640,950510
1641,950511
1642,950512
1643,950513
1644,950514
1645,950515
1646,950516
1647,950517
1648,950518
1649,950519
1650,950520
1651,950521
1652,950522
1653,950523
1654,950524
1655,950525
1656,950526
1657,950527
1658,950528
1659,950529
1660,950530
1661,950531
1662,950532
1663,950533
1664,950534
1665,950535
1666,950536
1667,950537
1668,950538
1669,950539
1670,950540
1671,950541
1672,950542
1673,950543
1674,950544
1675,950545
1676,950546
1677,950547
1678,950548
1679,950549
1680,950550
1681,950551
1682,950552
1683,950553
1684,950554
1685,950555
1686,950556
1687,950557
1688,950558
1689,950559
1690,950560
1691,950561
1692,950562
1693,950563
1694,950564
1695,950565
1696,950566
1697,950567
1698,950568
1699,950569
1700,950570
1701,950571
1702,950572
1703,950573
1704,950574
1705,950575
1706,950576
1707,950577
1708,950578
1709,950579
1710,950580
1711,950581
1712,950582
1713,950583
1714,950584
1715,950585
1716,950586
1717,950587
1718,950588
1719,950589
1720,950590
1721,950591
1722,950592
1723,950593
1724,950594
1725,950595
1726,950596
1727,950597
1728,950598
1729,950599
1730,950600
1731,950601
1732,950602
1733,950603
1734,950604
1735,950605
1736,950606
1737,950607
1738,950608
1739,950609
1740,950610
1741,950611
1742,950612
1743,950613
1744,950614
1745,950615
1746,950616
1747,950617
1748,950618
1749,950619
1750,950620
1751,950621
1752,950622
1753,950623
1754,950624
1755,950625
1756,950626
1757,950627
1758,950628
1759,950629
1760,950630
1761,950631
1762,950632
1763,950633
1764,950634
1765,950635
1766,950636
1767,950637
1768,950638
1769,950639
1770,950640
1771,950641
1772,950642
1773,950643
1774,950644
1775,950645
1776,950646
1777,950647
1778,950648
1779,950649
1780,950650
1781,950651
1782,950652
1783,950653
1784,950654
1785,950655
1786,950656
1787,950657
1788,950658
1789,950659
1790,950660
1791,950661
1792,950662
1793,950663
1794,950664
1795,950665
1796,950666
1797,950667
1798,950668
1799,950669
1800,950670
1801,950671
1802,950672
1803,950673
1804,950674
1805,950675
1806,950676
1807,950677
1808,950678
1809,950679
1810,950680
1811,950681
1812,950682
1813,950683
1814,950684
1815,950685
1816,950686
1817,950687
1818,950688
1819,950689
1820,950690
1821,950691
1822,950692
1823,950693
1824,950694
1825,950695
1826,950696
1827,950697
1828,950698
1829,950699
1830,950700
1831,950701
1832,950702
1833,950703
1834,950704
1835,950705
1836,950706
1837,950707
1838,950708
1839,950709
1840,950710
1841,950711
1842,950712
1843,950713
1844,950714
1845,950715
1846,950716
1847,950717
1848,950718
1849,950719
1850,950720
1851,950721
1852,950722
1853,950723
1854,950724
1855,950725
1856,950726
1857,950727
1858,950728
1859,950729
1860,950730
1861,950731
1862,950732
1863,950733
1864,950734
1865,950735
1866,950736
1867,950737
1868,950738
1869,950739
1870,950740
1871,950741
1872,950742
1873,950743
1874,950744
1875,950745
1876,950746
1877,950747
1878,950748
1879,950749
1880,950750
1881,950751
1882,950752
1883,950753
1884,950754
1885,950755
1886,950756
1887,950757
1888,950758
1889,950759
1890,950760
1891,950761
1892,950762
1893,950763
1894,950764
1895,950765
1896,950766
1897,950767
1898,950768
1899,950769
1900,950770
1901,950771
1902,950772
1903,950773
1904,950774
1905,950775
1906,950776
1907,950777
1908,950778
1909,950779
1910,950780
1911,950781
1912,950782
1913,950783
1914,950784
1915,950785
1916,950786
1917,950787
1918,950788
1919,950789
1920,950790
1921,950791
1922,950792
1923,950793
1924,950794
1925,950795
1926,950796
1927,950797
1928,950798
1929,950799
1930,950800
1931,950801
1932,950802
1933,950803
1934,950804
1935,950805
1936,950806
1937,950807
1938,950808
1939,950809
1940,950810
1941,950811
1942,950812
1943,950813
1944,950814
1945,950815
1946,950816
1947,950817
1948,950818
1949,950819
1950,950820
1951,950821
1952,950822
1953,950823
1954,950824
1955,950825
1956,950826
1957,950827
1958,950828
1959,950829
1960,950830
1961,950831
1962,950832
1963,950833
1964,950834
1965,950835
1966,950836
1967,950837
1968,950838
1969,950839
1970,950840
1971,950841
1972,950842
1973,950843
1974,950844
1975,950845
1976,950846
1977,950847
1978,950848
1979,950849
1980,950850
1981,950851
1982,950852
1983,950853
1984,950854
1985,950855
1986,950856
1987,950857
1988,950858
1989,950859
1990,950860
1991,950861
1992,950862
1993,950863
1994,950864
1995,950865
1996,950866
1997,950867
1998,950868
1999,950869
2000,950870
2001,950871
2002,950872
2003,950873
2004,950874
2005,950875
2006,950876
2007,950877
2008,950878
2009,950879
2010,950880
2011,950881
2012,950882
2013,950883
2014,950884
2015,950885
2016,950886
2017,950887
2018,950888
2019,950889
2020,950890
2021,950891
2022,950892
2023,950893
2024,950894
2025,950895
2026,950896
2027,950897
2028,950898
2029,950899
2030,950900
2031,950901
2032,950902
2033,950903
2034,950904
2035,950905
2036,950906
2037,950907
2038,950908
2039,950909
2040,950910
2041,950911
2042,950912
2043,950913
2044,950914
2045,950915
2046,950916
2047,950917
2048,950918
2049,950919
2050,950920
2051,950921
2052,950922
2053,950923
2054,950924
2055,950925
2056,950926
2057,950927
2058,950928
2059,950929
2060,950930
2061,950931
2062,950932
2063,950933
2064,950934
2065,950935
2066,950936
2067,950937
2068,950938
2069,950939
2070,950940
2071,950941
2072,950942
2073,950943
2074,950944
2075,950945
2076,950946
2077,950947
2078,950948
2079,950949
2080,950950
2081,950951
2082,950952
2083,950953
2084,950954
2085,950955
2086,950956
2087,950957
2088,950958
2089,950959
2090,950960
2091,950961
2092,950962
2093,950963
2094,950964
2095,950965
2096,950966
2097,950967
2098,950968
2099,950969
2100,950970
2101,950971
2102,950972
2103,950973
2104,950974
2105,950975
2106,950976
2107,950977
2108,950978
2109,950979
2110,950980
2111,950981
2112,950982
2113,950983
2114,950984
2115,950985
2116,950986
2117,950987
2118,950988
2119,950989
2120,950990
2121,950991
2122,950992
2123,950993
2124,950994
2125,950995
2126,950996
2127,950997
2128,950998
2129,950999
2130,951000
2131,951001
2132,951002
2133,951003
2134,951004
2135,951005
2136,951006
2137,951007
2138,951008
2139,951009
2140,951010
2141,951011
2142,951012
2143,951013
2144,951014
2145,951015
2146,951016
2147,951017
2148,951018
2149,951019
2150,951020
2151,951021
2152,951022
2153,951023
2154,951024
2155,951025
2156,951026
2157,951027
2158,951028
2159,951029
2160,951030
2161,951031
2162,951032
2163,951033
2164,951034
2165,951035
2166,951036
2167,951037
2168,951038
2169,951039
2170,951040
2171,951041
2172,951042
2173,951043
2174,951044
2175,951045
2176,951046
2177,951047
2178,951048
2179,951049
2180,951050
2181,951051
2182,951052
2183,951053
2184,951054
2185,951055
2186,951056
2187,951057
2188,951058
2189,951059
2190,951060
2191,951061
2192,951062
2193,951063
2194,951064
2195,951065
2196,951066
2197,951067
2198,951068
2199,951069
2200,951070
2201,951071
2202,951072
2203,951073
2204,951074
2205,951075
2206,951076
2207,951077
2208,951078
2209,951079
2210,951080
2211,951081
2212,951082
2213,951083
2214,951084
2215,951085
2216,951086
2217,951087
2218,951088
2219,951089
2220,951090
2221,951091
2222,951092
2223,951093
2224,951094
2225,951095
2226,951096
2227,951097
2228,951098
2229,951099
2230,951100
2231,951101
2232,951102
2233,951103
2234,951104
2235,951105
2236,951106
2237,951107
2238,951108
2239,951109
2240,951110
2241,951111
2242,951112
2243,951113
2244,951114
2245,951115
2246,951116
2247,951117
2248,951118
2249,951119
2250,951120
2251,951121
2252,951122
2253,951123
2254,951124
2255,951125
2256,951126
2257,951127
2258,951128
2259,951129
2260,951130
2261,951131
2262,951132
2263,951133
2264,951134
2265,951135
2266,951136
2267,951137
2268,951138
2269,951139
2270,951140
2271,951141
2272,951142
2273,951143
2274,951144
2275,951145
2276,951146
2277,951147
2278,951148
2279,951149
2280,951150
2281,951151
2282,951152
2283,951153
2284,951154
2285,951155
2286,951156
2287,951157
2288,951158
2289,951159
2290,951160
2291,951161
2292,951162
2293,951163
2294,951164
2295,951165
2296,951166
2297,951167
2298,951168
2299,951169
2300,951170
2301,951171
2302,951172
2303,951173
2304,951174
2305,951175
2306,951176
2307,951177
2308,951178
2309,951179
2310,951180
2311,951181
2312,951182
2313,951183
2314,951184
2315,951185
2316,951186
2317,951187
2318,951188
2319,951189
2320,951190
2321,951191
2322,951192
2323,951193
2324,951194
2325,951195
2326,951196
2327,951197
2328,951198
2329,951199
2330,951200
2331,951201
2332,951202
2333,951203
2334,951204
2335,951205
2336,951206
2337,951207
2338,951208
2339,951209
2340,951210
2341,951211
2342,951212
2343,951213
2344,951214
2345,951215
2346,951216
2347,951217
2348,951218
2349,951219
2350,951220
2351,951221
2352,951222
2353,951223
2354,951224
2355,951225
2356,951226
2357,951227
2358,951228
2359,951229
2360,951230
2361,951231
2362,951232
2363,951233
2364,951234
2365,951235
2366,951236
2367,951237
2368,951238
2369,951239
2370,951240
2371,951241
2372,951242
2373,951243
2374,951244
2375,951245
2376,951246
2377,951247
2378,951248
2379,951249
2380,951250
2381,951251
2382,951252
2383,951253
2384,951254
2385,951255
2386,951256
2387,951257
2388,951258
2389,951259
2390,951260
2391,951261
2392,951262
2393,951263
2394,951264
2395,951265
2396,951266
2397,951267
2398,951268
2399,951269
2400,951270
2401,951271
2402,951272
2403,951273
2404,951274
2405,951275
2406,951276
2407,951277
2408,951278
2409,951279
2410,951280
2411,951281
2412,951282
2413,951283
2414,951284
2415,951285
2416,951286
2417,951287
2418,951288
2419,951289
2420,951290
2421,951291
2422,951292
2423,951293
2424,951294
2425,951295
2426,951296
2427,951297
2428,951298
2429,951299
2430,951300
2431,951301
2432,951302
2433,951303
2434,951304
2435,951305
2436,951306
2437,951307
2438,951308
2439,951309
2440,951310
2441,951311
2442,951312
2443,951313
2444,951314
2445,951315
2446,951316
2447,951317
2448,951318
2449,951319
2450,951320
2451,951321
2452,951322
2453,951323
2454,951324
2455,951325
2456,951326
2457,951327
2458,951328
2459,951329
2460,951330
2461,951331
2462,951332
2463,951333
2464,951334
2465,951335
2466,951336
2467,951337
2468,951338
2469,951339
2470,951340
2471,951341
2472,951342
2473,951343
2474,951344
2475,951345
2476,951346
2477,951347
2478,951348
2479,951349
2480,951350
2481,951351
2482,951352
